singer,bands,role,notes
Tobias Sammet,"Avantasia; Edguy",founder/vocals,"Avantasia core; Edguy frontman"
Michael Kiske,"Helloween; Unisonic; Place Vendome; Kiske/Somerville",guest vocalist,"Major recurring Avantasia vocalist"
Kai Hansen,"Helloween; Gamma Ray; Iron Savior; Unisonic",guest vocalist/guitar,"Metal Opera guest and guitarist"
Andre Matos,"Angra; Shaman; Viper; Virgo",guest vocalist,"Metal Opera guest"
Bob Catley,"Magnum; Hard Rain",guest vocalist,"Recurring Avantasia vocalist"
David DeFeis,"Virgin Steele",guest vocalist,"Metal Opera guest"
Rob Rock,"Impellitteri; Driver; Warrior",guest vocalist,"Metal Opera guest"
Oliver Hartmann,"At Vance; Hartmann; Echoes; Rock Meets Classic",guest vocalist/guitar,"Recurring Avantasia vocalist and guitarist"
Sharon den Adel,"Within Temptation",guest vocalist,"Metal Opera guest"
Timo Tolkki,"Stratovarius; Revolution Renaissance; Timo Tolkki's Avalon",guest vocalist/guitar,"Metal Opera II guest"
Jørn Lande,"Jorn; Masterplan; Ark; Beyond Twilight; Allen/Lande",guest vocalist,"Major recurring Avantasia vocalist"
Amanda Somerville,"Aina; Kiske/Somerville; Trillium; Exit Eden",guest vocalist,"Recurring Avantasia vocalist"
Eric Singer,"Kiss; Black Sabbath; Alice Cooper; Badlands",guest vocalist/drums,"Avantasia drums and guest vocal"
Alice Cooper,"Alice Cooper",guest vocalist,"The Toy Master"
Roy Khan,"Kamelot; Conception",guest vocalist,"The Scarecrow guest"
Rudolf Schenker,"Scorpions",guitar,"Guest guitarist"
Klaus Meine,"Scorpions",guest vocalist,"Dying for an Angel"
Russell Allen,"Symphony X; Adrenaline Mob; Allen/Lande; Trans-Siberian Orchestra",guest vocalist,"Recurring Avantasia vocalist"
Jon Oliva,"Savatage; Jon Oliva's Pain; Trans-Siberian Orchestra",guest vocalist,"Wicked Trilogy guest"
Cloudy Yang,"Cloudy Yang",guest vocalist,"Wicked Trilogy guest"
Tim 'Ripper' Owens,"Judas Priest; Iced Earth; Yngwie Malmsteen; KK's Priest; Beyond Fear",guest vocalist,"Wicked Trilogy guest"
Bruce Kulick,"Kiss; Grand Funk Railroad; Union; Blackjack",guitar,"Guest guitarist"
Jens Johansson,"Stratovarius; Yngwie Malmsteen; Dio; Rainbow",keyboards,"Guest keyboardist"
Biff Byford,"Saxon",guest vocalist,"Mystery of Time guest"
Eric Martin,"Mr. Big; Eric Martin Band",guest vocalist,"Recurring Avantasia vocalist"
Ronnie Atkins,"Pretty Maids; Nordic Union",guest vocalist,"Recurring Avantasia vocalist"
Joe Lynn Turner,"Rainbow; Deep Purple; Yngwie Malmsteen; Sunstorm",guest vocalist,"Mystery of Time guest"
Arjen Anthony Lucassen,"Ayreon; Star One; Stream of Passion; The Gentle Storm",guest vocalist/guitar,"Mystery of Time guest"
Michael Rodenberg,"Aina; Kamelot; Rhapsody; Luca Turilli",keyboards/orchestration,"Avantasia core musician"
Sascha Paeth,"Heavens Gate; Aina; Luca Turilli; Trillium; Masters of Ceremony; Virgo",guitar/producer,"Avantasia core musician and producer"
Felix Bohnke,"Edguy",drums,"Avantasia/Edguy drummer"
Markus Grosskopf,"Helloween",bass,"Early Avantasia bassist"
Henjo Richter,"Gamma Ray; The Unity",guitar,"Early Avantasia guitarist"
Alex Holzwarth,"Rhapsody of Fire; Sieges Even; Blind Guardian",drums,"Avantasia drummer"
Russell Gilbrook,"Uriah Heep",drums,"Avantasia drummer"
Dee Snider,"Twisted Sister",guest vocalist,"Ghostlights guest"
Geoff Tate,"Queensrÿche; Operation: Mindcrime; Sweet Oblivion",guest vocalist,"Moonglow guest"
Marco Hietala,"Nightwish; Tarot; Northern Kings",guest vocalist,"Moonglow guest"
Hansi Kürsch,"Blind Guardian; Demons & Wizards",guest vocalist,"A Paranormal Evening guest"
Floor Jansen,"Nightwish; After Forever; ReVamp; Star One",guest vocalist,"A Paranormal Evening guest"
Ralf Zdiarstek,"Avantasia live/backing vocals",guest vocalist,"Live/studio backing contributor"
Herbie Langhans,"Firewind; Sinbreed; Beyond the Bridge; Seventh Avenue",guest vocalist,"Here Be Dragons / tour era vocalist"
Tommy Karevik,"Kamelot; Seventh Wonder",guest vocalist,"Here Be Dragons era vocalist"
Kenny Leckremo,"H.E.A.T.; New Horizon",guest vocalist,"Here Be Dragons tour era vocalist"
Adrienne Cowan,"Seven Spires; Sascha Paeth's Masters of Ceremony",guest vocalist,"Here Be Dragons tour era vocalist"
Chiara Tricarico,"Moonlight Haze; Temperance",guest vocalist,"Here Be Dragons tour era vocalist"
Ralf Scheepers,"Primal Fear; Gamma Ray; Tyran' Pace",guest vocalist,"Here Be Dragons era vocalist"
Mille Petrozza,"Kreator",guest vocalist,"Here Be Dragons era vocalist"
Tommy Johansson,"Sabaton; Majestica; ReinXeed",guest vocalist,"Here Be Dragons era vocalist"

